Job Code,Grade,Salary,Original Hire Date,Run Date,Tenure
11600,1,37876.8,8/22/2022,6/1/2024,649
11790,2,46072,8/15/2022,6/1/2024,656
11770,2,40913.6,8/22/2022,6/1/2024,649
11600,1,36420.8,8/29/2022,6/1/2024,642
11600,1,37523.2,8/29/2022,6/1/2024,642
11600,1,37044.8,8/29/2022,6/1/2024,642
11710,2,43617.6,9/19/2022,6/1/2024,621
11770,2,39707.2,9/19/2022,6/1/2024,621
11700,3,43451.2,9/26/2022,6/1/2024,614
11600,1,37876.8,9/26/2022,6/1/2024,614
11790,2,43867.2,9/26/2022,6/1/2024,614
11790,2,43846.4,9/26/2022,6/1/2024,614
11820,2,42744,10/10/2022,6/1/2024,600
11700,3,44678.4,11/7/2022,6/1/2024,572
11700,3,44844.8,11/28/2022,6/1/2024,551
11700,3,43451.2,11/28/2022,6/1/2024,551
11790,2,40726.4,12/12/2022,6/1/2024,537
11770,2,42182.4,1/3/2023,6/1/2024,515
11700,3,40040,1/9/2023,6/1/2024,509
11790,2,41100.8,1/16/2023,6/1/2024,502
11820,2,36712,1/23/2023,6/1/2024,495
11700,3,40934.4,1/30/2023,6/1/2024,488
11700,3,42827.2,1/30/2023,6/1/2024,488
11600,1,34424,2/13/2023,6/1/2024,474
11770,2,38667.2,2/20/2023,6/1/2024,467
11790,2,40227.2,2/27/2023,6/1/2024,460
11790,2,39041.6,2/27/2023,6/1/2024,460
11790,2,39041.6,2/27/2023,6/1/2024,460
11790,2,40705.6,3/6/2023,6/1/2024,453
11700,3,42827.2,3/13/2023,6/1/2024,446
11790,2,45219.2,3/13/2023,6/1/2024,446
11730,1,40227.2,3/13/2023,6/1/2024,446
12020,2,41100.8,3/20/2023,6/1/2024,439
11770,2,40227.2,3/20/2023,6/1/2024,439
11700,3,42827.2,3/20/2023,6/1/2024,439
11770,2,39852.8,3/27/2023,6/1/2024,432
11700,3,40934.4,3/27/2023,6/1/2024,432
11600,1,36420.8,4/3/2023,6/1/2024,425
11790,2,40123.2,4/3/2023,6/1/2024,425
11790,2,39457.6,4/10/2023,6/1/2024,418
11700,3,41641.6,4/10/2023,6/1/2024,418
11770,2,38688,4/17/2023,6/1/2024,411
11790,2,40227.2,5/1/2023,6/1/2024,397
11790,2,38688,5/22/2023,6/1/2024,376
11770,2,39041.6,5/22/2023,6/1/2024,376
11790,2,39478.4,6/26/2023,6/1/2024,341
11790,2,39041.6,6/26/2023,6/1/2024,341
11710,2,39624,6/26/2023,6/1/2024,341
11700,3,43888,3/4/2024,6/1/2024,89
11790,2,40227.2,8/14/2023,6/1/2024,292
11770,2,39041.6,9/11/2023,6/1/2024,264
11790,2,42723.2,9/11/2023,6/1/2024,264
11820,2,37086.4,9/18/2023,6/1/2024,257
12020,2,42577.6,10/9/2023,6/1/2024,236
11760,4,51417.6,10/23/2023,6/1/2024,222
11600,1,38937.6,10/30/2023,6/1/2024,215
11790,2,42931.2,10/30/2023,6/1/2024,215
11700,3,44012.8,10/30/2023,6/1/2024,215
11770,2,39457.6,10/30/2023,6/1/2024,215
11790,2,38688,10/30/2023,6/1/2024,215
11770,2,40227.2,11/6/2023,6/1/2024,208
11700,3,48131.2,11/27/2023,6/1/2024,187
11790,2,43472,12/4/2023,6/1/2024,180
11700,3,46508.8,12/4/2023,6/1/2024,180
11770,2,39478.4,12/4/2023,6/1/2024,180
11770,2,37544,12/11/2023,6/1/2024,173
11770,2,39041.6,12/11/2023,6/1/2024,173
11770,2,39998.4,12/11/2023,6/1/2024,173
11770,2,41496,12/11/2023,6/1/2024,173
11600,1,40164.8,12/18/2023,6/1/2024,166
11770,2,39041.6,12/18/2023,6/1/2024,166
11770,2,39041.6,12/18/2023,6/1/2024,166
11700,3,41600,1/8/2024,6/1/2024,145
11790,2,39416,1/8/2024,6/1/2024,145
11790,2,38792,1/15/2024,6/1/2024,138
12020,2,40560,1/15/2024,6/1/2024,138
11820,2,37648,1/22/2024,6/1/2024,131
11790,2,42120,1/22/2024,6/1/2024,131
11770,2,39520,1/22/2024,6/1/2024,131
11790,2,39520,2/5/2024,6/1/2024,117
11820,2,43680,2/12/2024,6/1/2024,110
12020,2,42640,2/12/2024,6/1/2024,110
11790,2,40040,2/12/2024,6/1/2024,110
11600,1,37440,2/19/2024,6/1/2024,103
11770,2,38688,2/26/2024,6/1/2024,96
11770,2,38688,2/26/2024,6/1/2024,96
11600,1,39000,3/4/2024,6/1/2024,89
11820,2,45760,3/12/2024,6/1/2024,81
11820,2,40144,3/12/2024,6/1/2024,81
11700,3,41808,3/25/2024,6/1/2024,68
11790,2,41600,3/25/2024,6/1/2024,68
11730,1,36400,3/25/2024,6/1/2024,68
11770,2,39520,4/1/2024,6/1/2024,61
11770,2,37544,4/1/2024,6/1/2024,61
11790,2,42120,4/1/2024,6/1/2024,61
11700,3,43888,4/8/2024,6/1/2024,54
11730,1,37440,4/8/2024,6/1/2024,54
11700,3,42120,4/8/2024,6/1/2024,54
11790,2,39520,4/8/2024,6/1/2024,54
11790,2,43472,4/8/2024,6/1/2024,54
11790,2,41808,4/15/2024,6/1/2024,47
11790,2,40040,4/15/2024,6/1/2024,47
11820,2,43680,4/29/2024,6/1/2024,33
11820,2,43680,4/29/2024,6/1/2024,33
10560,8,130739.79,12/31/2001,6/1/2024,8188
11090,6,90866.62,1/9/2006,6/1/2024,6718
10380,8,112000,11/5/2008,6/1/2024,5687
